pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.0,0.9,0.6000000000000001,71825.58940764017,71892.5370554846,-0.09320862995564277
0.0,0.9,0.7000000000000001,72115.16529015606,72226.14321512716,-0.1538898573199942
0.0,0.9,0.8,71532.92980613497,71937.94074572396,-0.5661881048163822
0.0,0.9,0.9,71261.25656260387,71027.929647275,0.32742464360545004
0.0,0.9,1.0,69585.32529268549,69496.10991978031,0.12821003930056607
0.0,1.0,0.0,55225.00253170909,55225.00253170972,-1.1330598934069611e-12
0.0,1.0,0.1,60671.93747256156,60045.13116702926,1.0331074490834722
0.0,1.0,0.2,64066.61633668474,64056.815430118775,0.015297993130241792
0.0,1.0,0.30000000000000004,66871.32571168043,67260.05532097824,-0.5813098591372883
0.0,1.0,0.4,69064.51811825474,69654.85083960768,-0.8547554336687795
0.0,1.0,0.5,71394.6976108763,71241.20198600707,0.21499583303207212
0.0,1.0,0.6000000000000001,72056.77727530304,72019.10876017644,0.05227615853909393
0.0,1.0,0.7000000000000001,72014.11833131762,71988.57116211578,0.03547522318373331
0.0,1.0,0.8,70698.37878030397,71149.58919182507,-0.6382188945566042
0.0,1.0,0.9,69635.77931382506,69502.16284930434,0.19187903953591554
0.0,1.0,1.0,67046.29213455322,67046.29213455356,-4.991984487087668e-13
0.1,0.0,0.0,56802.94858024303,56801.14432928292,0.003176333280584061
0.1,0.0,0.1,59079.2784774716,58666.57533389091,0.6985581987736356
0.1,0.0,0.2,60335.41970343472,60184.648745326114,0.2498879743435782
0.1,0.0,0.30000000000000004,61135.059770004285,61355.36456358852,-0.3603575336526048
0.1,0.0,0.4,62286.51413183887,62178.722788678104,0.173057273573875
0.1,0.0,0.5,62763.16099939778,62654.723420594906,0.17277265369715503
0.1,0.0,0.6000000000000001,62953.59728316824,62783.36645933891,0.270406825305979
0.1,0.0,0.7000000000000001,62386.24967133004,62564.65190491012,-0.28596402976610114
0.1,0.0,0.8,62198.30881899897,61998.57975730853,0.32111654719048255
0.1,0.0,0.9,60981.27672034103,61085.15001653415,-0.17033637499830864
0.1,0.0,1.0,59662.42616068188,59824.36268258696,-0.27142128191191783
0.1,0.1,0.0,58761.49190731412,58696.85456697611,0.10999948816814763
0.1,0.1,0.1,60226.00498504055,60380.81567210679,-0.2570495703719651
0.1,0.1,0.2,62513.64736875258,61816.94388564245,1.1144822169796693
0.1,0.1,0.30000000000000004,62984.692817975665,63005.239207583065,-0.03262124285781366
0.1,0.1,0.4,63951.753492808224,63945.70163792867,0.00946315706610336
0.1,0.1,0.5,64600.39283789739,64638.33117667925,-0.058727721481599895
0.1,0.1,0.6000000000000001,65063.29422041548,65083.12782383479,-0.030483552449887985
0.1,0.1,0.7000000000000001,65802.68507815845,65280.09157939527,0.7941826357730788
0.1,0.1,0.8,64615.46319215009,65229.22244336078,-0.9498643527254778
0.1,0.1,0.9,65073.44403973036,64930.520415731226,0.21963433180496086
0.1,0.1,1.0,64324.110499228744,64383.98549650667,-0.09308328838631033
0.1,0.2,0.0,60144.20966811496,60229.50249990301,-0.14181387079272018
0.1,0.2,0.1,61579.16968187203,61833.885808076186,-0.41364007913724765
0.1,0.2,0.2,63859.4353920005,63256.74569412942,0.9437754877904488
0.1,0.2,0.30000000000000004,64258.05774310871,64498.082158062716,-0.3735320104345197
0.1,0.2,0.4,65519.00779429228,65557.8951998761,-0.059352860937573367
0.1,0.2,0.5,66746.96783299172,66436.18481956952,0.46561368030951694
0.1,0.2,0.6000000000000001,66984.09638787212,67132.95101714304,-0.2222238371463239
0.1,0.2,0.7000000000000001,67309.90404873449,67648.19379259659,-0.5025853901339212
0.1,0.2,0.8,68105.96416518255,67981.91314593024,0.18214413491223277
0.1,0.2,0.9,68044.78189977794,68134.10907714393,-0.13127704266517157
0.1,0.2,1.0,67445.03054246966,68104.7815862377,-0.9782055674993076
0.1,0.30000000000000004,0.0,61185.849454419724,61399.0881280636,-0.34850978705906527
0.1,0.30000000000000004,0.1,63116.064043189406,63025.78574179907,0.143035378962419
0.1,0.30000000000000004,0.2,64718.360539198715,64504.054170787014,0.3311368931879835
0.1,0.30000000000000004,0.30000000000000004,66408.63006642513,65833.89341502744,0.8654547621639073
0.1,0.30000000000000004,0.4,67277.10153335822,67015.30347452036,0.3891339740729582
0.1,0.30000000000000004,0.5,68514.59213559836,68048.28434926578,0.680596310651163
0.1,0.30000000000000004,0.6000000000000001,69187.7565174352,68932.83603926365,0.368447382893985
0.1,0.30000000000000004,0.7000000000000001,69603.10313178107,69668.95854451404,-0.09461562742150212
0.1,0.30000000000000004,0.8,70322.75518073805,70256.6518650169,0.0939998945593869
0.1,0.30000000000000004,0.9,70636.01889341403,70695.91600077225,-0.08479683353701327
0.1,0.30000000000000004,1.0,70110.35498336871,70986.7509517801,-1.2500235787128373
0.1,0.4,0.0,62134.25115875117,62205.61145145792,-0.1148485599744725
0.1,0.4,0.1,64176.580121934,63956.51547327547,0.34290491677869755
